Column1,Column2
https://bblais.github.io/the-supernatural-and-the-history-of-cosmology.html,https://bblais.github.io/posts/2013/Sep/04/the-supernatural-and-the-history-of-cosmology
https://bblais.github.io/origins-of-religion-two-hypotheses.html,https://bblais.github.io/posts/2013/Sep/13/origins-of-religion-two-hypotheses
https://bblais.github.io/what-to-do-when-youre-not-an-expert.html,https://bblais.github.io/posts/2013/Sep/19/what-to-do-when-youre-not-an-expert
https://bblais.github.io/moocs-and-treadmills.html,https://bblais.github.io/posts/2013/Sep/25/moocs-and-treadmills
https://bblais.github.io/the-fallacy-of-all-natural.html,https://bblais.github.io/posts/2013/Sep/26/the-fallacy-of-all-natural
https://bblais.github.io/what-sane-climate-discussion-looks-like.html,https://bblais.github.io/posts/2014/Aug/05/what-sane-climate-discussion-looks-like
https://bblais.github.io/what-evidence-would-it-take.html,https://bblais.github.io/posts/2014/Aug/15/what-evidence-would-it-take
https://bblais.github.io/whats-the-harm-in-alternative-medicine.html,https://bblais.github.io/posts/2014/Aug/26/whats-the-harm-in-alternative-medicine
https://bblais.github.io/evolution-and-morality.html,https://bblais.github.io/posts/2014/Dec/02/evolution-and-morality
https://bblais.github.io/why-python-is-the-language-everyone-should-learn.html,https://bblais.github.io/posts/2014/Dec/15/why-python-is-the-language-everyone-should-learn
https://bblais.github.io/the-longest-night-ever.html,https://bblais.github.io/posts/2014/Dec/23/the-longest-night-ever
https://bblais.github.io/latex-vs-word.html,https://bblais.github.io/posts/2014/Dec/31/latex-vs-word
https://bblais.github.io/creationism-laid-bare.html,https://bblais.github.io/posts/2014/Feb/06/creationism-laid-bare
https://bblais.github.io/scientific-knowledge.html,https://bblais.github.io/posts/2014/Feb/12/scientific-knowledge
https://bblais.github.io/is-astrology-scientific.html,https://bblais.github.io/posts/2014/Feb/26/is-astrology-scientific
https://bblais.github.io/a-new-year-and-a-deepity.html,https://bblais.github.io/posts/2014/Jan/06/a-new-year-and-a-deepity
https://bblais.github.io/new-website.html,https://bblais.github.io/posts/2014/Jan/10/new-website
https://bblais.github.io/why-the-new-website.html,https://bblais.github.io/posts/2014/Jan/13/why-the-new-website
https://bblais.github.io/new-year-and-new-website.html,https://bblais.github.io/posts/2014/Jan/14/new-year-and-new-website
https://bblais.github.io/statistical-inference-for-everyone-book-announcement.html,https://bblais.github.io/posts/2014/Jan/14/statistical-inference-for-everyone-book-announcement
https://bblais.github.io/the-cover-art-for-statistical-inference-for-everyone-sie.html,https://bblais.github.io/posts/2014/Jan/15/the-cover-art-for-statistical-inference-for-everyone-sie
https://bblais.github.io/chess-morality-and-well-being.html,https://bblais.github.io/posts/2014/Jan/17/chess-morality-and-well-being
https://bblais.github.io/philosophy-and-science-whats-the-difference.html,https://bblais.github.io/posts/2014/Jan/21/philosophy-and-science-whats-the-difference
https://bblais.github.io/physics-and-the-flash-mind-reader.html,https://bblais.github.io/posts/2014/Jan/22/physics-and-the-flash-mind-reader
https://bblais.github.io/properly-basic-obscurantism.html,https://bblais.github.io/posts/2014/Jan/24/properly-basic-obscurantism
https://bblais.github.io/unbelievable-project-did-jesus-exist-bart-ehrman-qa-18-august-2012.html,https://bblais.github.io/posts/2014/Jan/25/unbelievable-project-did-jesus-exist-bart-ehrman-qa-18-august-2012
https://bblais.github.io/did-christians-steal-christmas-22-december-2007.html,https://bblais.github.io/posts/2014/Jan/29/did-christians-steal-christmas-22-december-2007
https://bblais.github.io/anyone-using-the-term-scientific-proof-doesnt-know-science.html,https://bblais.github.io/posts/2014/Jan/31/anyone-using-the-term-scientific-proof-doesnt-know-science
https://bblais.github.io/faith-trust-and-evidence.html,https://bblais.github.io/posts/2014/Jul/24/faith-trust-and-evidence
https://bblais.github.io/is-faith-the-same-as-trust-or-baseless-belief.html,https://bblais.github.io/posts/2014/Jul/28/is-faith-the-same-as-trust-or-baseless-belief
https://bblais.github.io/what-is-science.html,https://bblais.github.io/posts/2014/Jul/29/what-is-science
https://bblais.github.io/do-healing-miracles-happen.html,https://bblais.github.io/posts/2014/Jun/03/do-healing-miracles-happen
https://bblais.github.io/free-or-not-so-free-will.html,https://bblais.github.io/posts/2014/Jun/04/free-or-not-so-free-will
https://bblais.github.io/its-unreasonable-to-believe-some-true-things.html,https://bblais.github.io/posts/2014/Jun/06/its-unreasonable-to-believe-some-true-things
https://bblais.github.io/turing-test-passed.html,https://bblais.github.io/posts/2014/Jun/09/turing-test-passed
https://bblais.github.io/statistical-heresies-the-movie.html,https://bblais.github.io/posts/2014/Jun/11/statistical-heresies-the-movie
https://bblais.github.io/bayesian-vs-frequentist-perspectives.html,https://bblais.github.io/posts/2014/Jun/19/bayesian-vs-frequentist-perspectives
https://bblais.github.io/a-foreshadowing-of-the-end-of-the-world.html,https://bblais.github.io/posts/2014/Mar/10/a-foreshadowing-of-the-end-of-the-world
https://bblais.github.io/how-to-dodge-the-consequences-of-belief.html,https://bblais.github.io/posts/2014/Mar/13/how-to-dodge-the-consequences-of-belief
https://bblais.github.io/noah-and-the-flood-did-it-happen-16-february-2008.html,https://bblais.github.io/posts/2014/Mar/19/noah-and-the-flood-did-it-happen-16-february-2008
https://bblais.github.io/dualism-naturalism-and-other-isms.html,https://bblais.github.io/posts/2014/May/06/dualism-naturalism-and-other-isms
https://bblais.github.io/skeptics-vs-realists.html,https://bblais.github.io/posts/2014/May/08/skeptics-vs-realists
https://bblais.github.io/spurious-correlations.html,https://bblais.github.io/posts/2014/May/12/spurious-correlations
https://bblais.github.io/siblings-and-astronomy.html,https://bblais.github.io/posts/2014/May/14/siblings-and-astronomy
https://bblais.github.io/supporting-dualism.html,https://bblais.github.io/posts/2014/May/16/supporting-dualism
https://bblais.github.io/statistical-heresies.html,https://bblais.github.io/posts/2014/May/22/statistical-heresies
https://bblais.github.io/pennies.html,https://bblais.github.io/posts/2014/May/28/pennies
https://bblais.github.io/a-good-bet-lost.html,https://bblais.github.io/posts/2014/May/29/a-good-bet-lost
https://bblais.github.io/objective-morality.html,https://bblais.github.io/posts/2014/Nov/21/objective-morality
https://bblais.github.io/statistical-inference-for-everyone-sie.html,https://bblais.github.io/posts/2014/Nov/21/statistical-inference-for-everyone-sie
https://bblais.github.io/objective-morality-defined.html,https://bblais.github.io/posts/2014/Nov/25/objective-morality-defined
https://bblais.github.io/what-is-ai.html,https://bblais.github.io/posts/2014/Oct/14/what-is-ai
https://bblais.github.io/something-from-nothing.html,https://bblais.github.io/posts/2014/Oct/28/something-from-nothing
https://bblais.github.io/theism-vs-atheism.html,https://bblais.github.io/posts/2014/Sep/18/theism-vs-atheism
https://bblais.github.io/will-the-sun-rise-tomorrow.html,https://bblais.github.io/posts/2014/Sep/22/will-the-sun-rise-tomorrow
https://bblais.github.io/will-the-sun-rise-tomorrow.html,https://bblais.github.io/posts/2014/Sep/22/will-the-sun-rise-tomorrow
https://bblais.github.io/three-years-of-weather.html,https://bblais.github.io/posts/2014/Sep/23/three-years-of-weather
https://bblais.github.io/naturalism-of-the-gaps.html,https://bblais.github.io/posts/2014/Sep/30/naturalism-of-the-gaps
https://bblais.github.io/superseding-the-t-test.html,https://bblais.github.io/posts/2015/Apr/23/superseding-the-t-test
https://bblais.github.io/deduction-induction-and-abduction-oh-my.html,https://bblais.github.io/posts/2015/Aug/10/deduction-induction-and-abduction-oh-my
